Lumina RaaS — 3-Year Financial Model (AUD)
,,,,,,
REVENUE PROJECTIONS,,Year 1 (2026),,Year 2 (2027),,Year 3 (2028)
,,Monthly,,Monthly,,Monthly
New Paying Customers (cumulative),,"1,850",,"4,200",,"7,800"
Blended ARPU ($/month),,42,,52,,58
Monthly Churn Rate,,0.70%,,0.70%,,0.70%
Net Revenue Retention,,110%,,115%,,120%
,,,,,,
INCOME STATEMENT,,Year 1,,Year 2,,Year 3
Total Revenue,,"$620,000",,"$2,100,000",,"$4,900,000"
,,,,,,
COGS,,,,,,
AI Compute (API costs),,"$180,000",,"$380,000",,"$700,000"
Infrastructure (Vercel/Supabase),,"$12,000",,"$60,000",,"$150,000"
Payment Processing (Stripe 2.9%),,"$18,000",,"$61,000",,"$142,000"
Third-party APIs,,"$50,000",,"$79,000",,"$108,000"
Total COGS,,"$260,000",,"$580,000",,"$1,100,000"
,,,,,,
Gross Profit,,"$360,000",,"$1,520,000",,"$3,800,000"
Gross Margin,,58%,,72%,,78%
,,,,,,
OPERATING EXPENSES,,,,,,
Marketing & Sales,,"$174,000",,"$588,000",,"$1,029,000"
  % of Revenue,,28%,,28%,,21%
R&D (Agent Improvements),,"$136,000",,"$462,000",,"$588,000"
  % of Revenue,,22%,,22%,,12%
G&A (Legal/Admin/Ops),,"$74,000",,"$252,000",,"$383,000"
  % of Revenue,,12%,,12%,,8%
Total OpEx,,"$384,000",,"$1,302,000",,"$2,000,000"
,,,,,,
EBIT (Operating Profit),,"($24,000)",,"$218,000",,"$1,800,000"
EBIT Margin,,-4%,,10%,,37%
,,,,,,
Net Cash Flow,,"($85,000)",,"$410,000",,"$1,650,000"
Cumulative Cash (from $250k start),,"$165,000",,"$575,000",,"$2,225,000"
,,,,,,
KEY METRICS,,Year 1,,Year 2,,Year 3
Ending ARR,,"$920,000",,"$2,850,000",,"$6,400,000"
CAC (blended),,$335,,$310,,$255
LTV/CAC Ratio,,3.8x,,4.5x,,5.2x
CAC Payback (months),,8,,7,,5
Rule of 40 Score,,N/A,,62%,,78%
Break-even Month,,Month 14,,—,,—
,,,,,,
UNIT ECONOMICS,,,,,,
Avg Revenue per Outcome,,"$2,500",,"$3,200",,"$3,800"
Avg Compute Cost per Outcome,,$450,,$380,,$320
Avg Margin per Outcome,,"$2,050",,"$2,820",,"$3,480"
Margin %,,82%,,88%,,92%
,,,,,,
HEADCOUNT,,Year 1,,Year 2,,Year 3
Founder/CEO,,1,,1,,1
Engineering/Product,,1,,2,,3
Marketing/Sales,,0.5,,1,,2
Operations,,0.5,,1,,1
Total FTEs,,3,,5,,7
,,,,,,
SENSITIVITY ANALYSIS,,Base Case,,Bear Case,,Bull Case
Year 1 ARR,,"$920,000",,"$600,000",,"$1,200,000"
Year 2 ARR,,"$2,850,000",,"$1,800,000",,"$4,000,000"
Year 3 ARR,,"$6,400,000",,"$3,500,000",,"$9,000,000"
Break-even Month,,14,,19,,10
Seed Round Needed?,,Optional,,Yes ($1.5M),,No
